"elevation_m","drainage_density_km_per_km2","storm_drain_proximity_m","historical_rainfall_intensity_mm_hr","return_period_years","land_use","soil_group","storm_drain_type"
30.88,11,152.5,16.3,5,"Industrial","B","OpenChannel"
24.28,7.32,37,77,10,"Residential","B","Manhole"
35.7,4.5,292.4,20.8,5,"Industrial","C","OpenChannel"
15.36,8.97,30,120.5,50,"Roads","C","Manhole"
15.8,8.25,43,39.3,10,"Residential","A","Manhole"
20.08,5.88,31.1,74.5,10,"Residential","C","CurbInlet"
0.19,7.79,153.3,58.2,10,"Commercial","","None"
12.22,9.46,41.2,26.5,2,"Roads","","OpenChannel"
114.17,3.14,187.7,43.6,25,"Residential","B","Manhole"
-3,10.62,70.9,18.5,5,"Commercial","B","CurbInlet"
18.54,9.08,248,29.1,10,"Commercial","B","OpenChannel"
88.57,4.86,105.1,32.1,50,"Commercial","B","CurbInlet"
13.43,3.45,53.3,52.6,25,"Green","A","OpenChannel"
8.99,9.23,128.4,41.3,5,"Commercial","","CurbInlet"
3.29,7.63,153.6,95.3,10,"Residential","D","CurbInlet"
15.75,8.77,145.3,82.8,25,"Roads","","CurbInlet"
67.05,9.23,118.7,63.6,25,"Industrial","A","OpenChannel"
31.58,4.72,58.2,30,2,"Green","C","OpenChannel"
33.74,7.6,91.2,26.2,25,"Roads","C","GratedInlet"
4.25,3.27,11.2,31.1,2,"Residential","D","GratedInlet"
40.28,4.89,124.4,36.8,10,"Residential","B","CurbInlet"
15,5.17,44.6,30.9,25,"Residential","D","CurbInlet"
90.74,6.57,24.6,64,10,"Industrial","A","GratedInlet"
93.76,12.07,54,39.8,25,"Industrial","D","Manhole"
28.34,3.71,22.6,41.9,10,"Water","C","CurbInlet"
10.34,5.36,6,20.9,10,"Industrial","B","Manhole"
-3,9.25,64.4,15.6,2,"Roads","","CurbInlet"
38.61,7.44,193.1,28.2,2,"Roads","C","OpenChannel"
13.78,4.67,127.2,21.6,2,"Commercial","B","None"
-1.61,6.64,11.2,42.6,2,"Mixed","B","Manhole"
15.68,5.76,80.7,29.9,5,"Residential","A","CurbInlet"
194.75,9.58,18.6,22,25,"Commercial","A","CurbInlet"
110.63,5.32,50.8,25,10,"Mixed","A","CurbInlet"
70.23,4.72,156.1,40.3,5,"Roads","","OpenChannel"
