"city_name","admin_ward","latitude","longitude","cluster","risk_level"
"Ahmedabad, India","Sector 12",23.019473,72.638578,2,"Bajo"
"Hong Kong, China","Sector 14",22.302602,114.078673,3,"Medio"
"Durban, South Africa","Sector 5",-29.887602,30.911008,2,"Bajo"
"Bangkok, Thailand","Borough Harbor",13.730254,100.441634,2,"Bajo"
"Nairobi, Kenya","Ward J",-1.374024,36.730491,3,"Medio"
"Bangkok, Thailand","Zone X",13.746372,100.484051,3,"Medio"
"Washington DC, USA","Sector 12",38.870843,-76.900953,2,"Bajo"
"Delhi, India","Ward J",28.544386,77.235841,2,"Bajo"
"Athens, Greece","District 18",37.915493,23.657021,3,"Medio"
"Athens, Greece","District 29",38.054642,23.718257,2,"Bajo"
"Nairobi, Kenya","Borough North",-1.263708,36.869893,2,"Bajo"
"Miami, USA","District 20",25.727376,-80.21539,1,"Alto"
"Lima, Peru","Borough Central",-12.041346,-77.085898,2,"Bajo"
"Miami, USA","District 28",25.76789,-80.255953,3,"Medio"
"Hong Kong, China","Zone III",22.216858,114.128052,2,"Bajo"
"Kuala Lumpur, Malaysia","Zone VI",3.140932,101.706156,2,"Bajo"
"Rome, Italy","Sector 21",41.945883,12.423044,1,"Alto"
"Brisbane, Australia","Zone IX",-27.476021,153.101193,2,"Bajo"
"Montreal, Canada","Sector 10",45.433867,-73.57936,3,"Medio"
"Hanoi, Vietnam","Ward G",20.951943,105.796832,3,"Medio"
"Vancouver, Canada","Ward K",49.378623,-123.142702,3,"Medio"
"Lima, Peru","Borough South",-12.039791,-77.085746,2,"Bajo"
"San Francisco, USA","Sector 12",37.770337,-122.398163,2,"Bajo"
"Bengaluru, India","Zone II",12.980622,77.636965,1,"Alto"
"New Orleans, USA","Sector 15",29.976976,-90.21051,2,"Bajo"
"Dhaka, Bangladesh","District 11",23.697673,90.424359,2,"Bajo"
"Pune, India","Borough Old Town",18.58017,73.955841,3,"Medio"
"Shanghai, China","Ward A",31.162448,121.443756,3,"Medio"
"Karachi, Pakistan","District 11",24.898906,67.042908,2,"Bajo"
"Bogotá, Colombia","District 13",4.700349,-74.167433,2,"Bajo"
"Lima, Peru","Ward A",-12.010978,-76.999135,2,"Bajo"
"Montreal, Canada","Sector 1",45.550481,-73.562016,1,"Alto"
"Ahmedabad, India","Ward E",23.103579,72.614063,2,"Bajo"
"Paris, France","Ward E",48.854264,2.375006,3,"Medio"
"Vancouver, Canada","Ward D",49.398904,-123.124709,2,"Bajo"
"Ahmedabad, India","Ward E",22.945161,72.586269,1,"Alto"
"Washington DC, USA","Borough Hillside",38.943781,-76.999643,2,"Bajo"
"Hong Kong, China","Ward E",22.355356,114.241956,2,"Bajo"
"Mexico City, Mexico","Sector 11",19.415445,-99.196033,2,"Bajo"
"Kuala Lumpur, Malaysia","District 26",3.09333,101.739592,2,"Bajo"
"Mexico City, Mexico","Sector 26",19.454178,-99.104387,3,"Medio"
"Tehran, Iran","Borough Hillside",35.692218,51.489906,2,"Bajo"
"Taipei, Taiwan","District 23",24.916909,121.592372,2,"Bajo"
"San Francisco, USA","Borough Old Town",37.690835,-122.45266,2,"Bajo"
"Mexico City, Mexico","Borough Old Town",19.512895,-99.05693,2,"Bajo"
"Jakarta, Indonesia","Sector 9",-6.269827,106.847064,1,"Alto"
"Kuala Lumpur, Malaysia","District 13",3.188477,101.738006,2,"Bajo"
"Barcelona, Spain","District 11",41.494167,2.061047,2,"Bajo"
"Karachi, Pakistan","Sector 16",24.894516,66.99248,3,"Medio"
"Lagos, Nigeria","Zone VI",6.504458,3.368462,2,"Bajo"
"Durban, South Africa","Ward G",-29.807949,30.926977,2,"Bajo"
"Seoul, South Korea","Sector 28",37.629794,126.97571,3,"Medio"
"Barcelona, Spain","Ward B",41.391372,2.063055,3,"Medio"
"Kuala Lumpur, Malaysia","Ward I",3.182771,101.805347,2,"Bajo"
"Tehran, Iran","Zone III",35.709705,51.366584,2,"Bajo"
"Dhaka, Bangladesh","Borough Delta",23.760802,90.417449,2,"Bajo"
"Buenos Aires, Argentina","Ward J",-34.718054,-58.379462,3,"Medio"
"Colombo, Sri Lanka","Ward E",6.843577,79.842526,1,"Alto"
"Paris, France","Borough Delta",48.808427,2.279906,2,"Bajo"
"Doha, Qatar","Zone VIII",25.200856,51.667687,2,"Bajo"
"Istanbul, Türkiye","Sector 21",40.940379,28.973808,3,"Medio"
"San Francisco, USA","Ward G",37.699621,-122.366738,2,"Bajo"
"Singapore, Singapore","Ward F",1.30347,103.820979,2,"Bajo"
